video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
R0NibarU2i0,kdZ2K5R-sXE,1LrB_o7GHDs,Ird8LKmRpps,sQfm5ibQC6o,P8_HwmUY7js,k9wqMAqEHcU,IZB2DePToZQ,yLpmIQ61HW4,-Rirnkbk2EE,TbP7lLhwAFk,yZnayv2e9EY,acwrFjR6_jU,f-3ftLAygro,r8eceaiZfc0,6nJiP9l5sto,5nucrLYNDFc,NRzgBAclOGU,BVAlyy0r-EE,eKHdO4I_CrE,uQViXaUyzjc
c7rUkKVVu1Y,pL0go6xo0wQ,2-Lvf6ahghw,Bgep90t4CPo,8AhX1DW6NLg,bzKLKMTzj5g,L1YfBtNG2Cw,8xPgfDzPdC8,oQpvJNejBWc,XjIz-pDxDqM,pbmEo-v6zZ8,uLrXer0VGuk,Ozhn7E-GidQ,ULuf9ldkAao,f75TPlUYryA,1nXSEi4tUPQ,YBhJnUFvhTk,ZK7dNt1m28Q,QF1GY7kpfPI,MFisj0zuaIw,V2Dl3EQTHa0
bNVK7vSiTOw,ji5_MqicxSo,24Ryj1ywoqw,ukythkK4EPQ,eg4kLnRVozg,vQzRAaXxjek,M2GqRTgi5WI,wzIHWsr8Ydo,PbUtL_0vAJk,QmcKGcKW76M,1uwOL4rB-go,6T79yApVCBg,MiQE_Lb801U,in6RZzdGki8,wwLrgxtALWs,IZjMgbRUsZM,67XTB9fytdA,nnAYOcTpKjg,zhcR1ZS2hVo,u9-3mzm9MEw,1kXOg23pGeA
qZfhNZ8GXQs,v6JHOOjkmLc,8M3OEJjebNY,zBd2zpfoagA,n1Y47GEkYfI,wlTrKYFM37o,3WzviPNGsMw,eB5SV5UPrLE,OEsDsouU5dA,bd_vxnwF2Ds,Agbu8DInpgQ,aaO3RR0jYy0,3oiheCJNJWA,FwYpHkXcnQA,ZabxWNQ7tXo,_qzJoqhv0CY,H1GMeE5LMKM,cOlUh4gmNRc,v6VVnElpMTA,DHwYzluD0ec,gJ1Y6Q7ErQQ
JQMa5y3p0v4,L3bqmXCbVcQ,TxRzrmnz_WI,VLm96LC-4eI,p6HGU4b0r1g,jkl4O7lzGmI,UOHsXKLsiBc,Eef7uUjNGKc,XLVnrW8ebN4,1rUNByCnfT8,acsGMyflwlk,q5oHzhN9ow4,IU3rqCO4e-Q,q6sHYCnKgLc,g6RCcUVBCSY,16UoqfZ-1ZQ,ur5HJsaKFNo,tXlUjgs_gOI,bFx7ZknU_z4,FG3kYU-sAY0,lrth3zohGi0
BOblMgbZXH4,qKWkKmd5gjI,iLCuukirrLM,Nlqn9Ps2ZQA,D0kzaRPmQTA,VLEWD9Ym9W0,evQpVmTn0bc,Xbo1AuNc7vI,8xC0VSSYLVk,Hd1cxzUE7VA,CVmDmjjTdTk,pXwduX3aN3E,nhEo1YLVLdA,Hyk6z1O9c1A,vjKj_0cj9gI,mn9yxRxfn5M,8gC_f1Vu7zQ,z7H46lrGgzE,xGtxgdCyMFQ,3uJDAQRgccU,hDDqjGqKrsw
-oVQwlDB9Rg,7vowfuhjXCg,P5B5iB67Ld0,sf4698CiMfQ,7BUvcddVI6Y,YYh268HRgXM,tQxQfQU_hsk,OCruefYl3FI,_nkZ3eHeXlc,UXnKyJdA01w,gwm1gfzDzKE,2tJjNVVwRCY,XM3ki-FF-p0,La209OKkUgI,EBSrN-EZYMY,qhmahD_EbHY,kfgrnyv3q1g,3aG5G38GzhU,HtkOLRuAXDY,aAFoNy2-nF8,q1OG0iNKTBo
jfACnjzXc3o,12wc8LpEBhw,9QR1tni70fo,l1DCSqAJ740,ZES_o3XYGjM,4I8b40cViDE,fmOE0V8-me8,Elp6Bf0HJIM,h1DOZsHEpE4,VPuKu7aU9GY,xNqtZ7LA-rA,K3SmrkmdCbM,ztharMK1gC8,u7FhIUuo6tE,KgUXi9EBqiQ,mjU2QlfSvGo,DZ_1TNo9lk0,Gw8Yt0RCvec,l12Csc_lW0Q,ykt-e6xPtZU,2ehGmBxz_is
uWAxLCkpPW4,NlZe5xtq7do,nbC771GARdA,MZX0VXLq54w,bJXKkxE1Ri0,CHi51oWzV_M,ly0dBk7yqYU,MV95TjaXkX8,XAxpYC7tusU,sJM2QNogihs,KNHx9EZLdSk,KFMj41TWkRY,x8q9CATwTuo,m7JadnMU23M,P-PbeG3VonU,jfACnjzXc3o,YwmtkgEG9ak,ikXorEtoDFU,VhWXTplEMz0,zzAFEtwIoAw,ljkS7xLLT30
zzAFEtwIoAw,SjTskQgEmaE,xldW5Ajoq5A,9saWRsw48Qo,bRt4mqUbPV0,Nq6YTDu3p_Y,z76hMSfYUd0,Ijt6PPk1VN4,ZV977sf-lJ8,iCCydCeo1FE,dGxg1UeXREI,9_x4Ioq5kp8,nUAYPiQjqMY,cqR-6LERU9g,KdkKHdY3fKc,IedbjDX8GgY,-o1zdm7ANVw,7211nkszJSw,0n1pdAWERY4,vNAYtaBojv4,48AN8KDBqus
