video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
9fIBn-SoHas,hzTeiX4sqe0,H4GMCvTF5pg,QskiVhVtcR0,sZGebKkd-nQ,vdjTU9grElU,NQOvX0AeLbg,TMgAWuFKcPU,Skkw0lIdpDI,abVRVQyxYqc,4kO7RQby9G4,biH1VEgLwHA,r1ZCL-SBnU4,lNPdo4U7ToI,x6zaatu_GpE,sanU2_2-mDE,pKqRpx_HWGI,J3V4LE7l2q8,8dLSVzCwMec,qHpfbVBPsJY,M3DpXQjrdHc
V0dYT7nMr5Q,,,,,,,,,,,,,,,,,,,,
YhNBvnAmn90,,,,,,,,,,,,,,,,,,,,
8LVOTBAa89k,,,,,,,,,,,,,,,,,,,,
TbP7lLhwAFk,,,,,,,,,,,,,,,,,,,,
uUy9BlvIa3E,,,,,,,,,,,,,,,,,,,,
n6zaL0SE_zU,,,,,,,,,,,,,,,,,,,,
UuGaaqj1zdw,,,,,,,,,,,,,,,,,,,,
sDsBgioymOE,,,,,,,,,,,,,,,,,,,,
qGXqyt1u7Wg,,,,,,,,,,,,,,,,,,,,
on3MJJFiRnM,,,,,,,,,,,,,,,,,,,,
21YvVKd3bIg,inVZu5XYNZw,t6xxI6Lm-kQ,P8zg0q3ITRE,GCDODayFxuM,M0U_wZIdffc,q3PJAss6UQs,enrH4u-WReQ,BrZl6Qq7pfk,hViigt9M6AY,PZf4B6u0Hc0,wzQMwmjaD8M,7-PMeOGREjc,fNegXL853UA,_e4C5U67UVw,JM-HAOR54Bw,IvEd490JnMw,XOmh5INtbrU,prK7xuT8tYA,AxSjD663-XU,oFxL9CCIcOo
q3PJAss6UQs,,,,,,,,,,,,,,,,,,,,
qQLyk1kI-d4,NmeDT9pbnzU,fNegXL853UA,7_gtNTNgAds,aGUvxDPfbIE,q3PJAss6UQs,nH5phnVcYKk,M0U_wZIdffc,GCDODayFxuM,7tMOwa0QzuQ,Byd8322US1Y,36_v22cAd10,2zgn9A_9YQ4,V8yuk2aoYKk,HdMeadv81LU,hhnUG4vnjc4,7AbltagDbNM,ztRVbVvzoVw,lzI0jtJ2Qh0,jld2g4UDxQg,Pm7PEb6JOT4
M0U_wZIdffc,Byd8322US1Y,_8-eQA5qBvw,rb-uNydKxz4,qQLyk1kI-d4,7_gtNTNgAds,2pTXXsYIA30,FSO4tASWk5s,bzYdX8KruO8,L6aqtzCB-ko,q3PJAss6UQs,10mLTl2Vx04,9pJwVTPLxPE,NmeDT9pbnzU,vaESF9Tzjks,92jmGmZto44,gSVfKOwLoJQ,hhnUG4vnjc4,OPw3LJwIGIs,aGUvxDPfbIE,GCDODayFxuM
w1Ijw-4q2io,rANtRSv8w9o,Lf2Cb7DilIw,P8zg0q3ITRE,nH5phnVcYKk,inVZu5XYNZw,PZf4B6u0Hc0,uBpBYXUIB8Q,21YvVKd3bIg,q3PJAss6UQs,sxMK_beGgmg,KdPuTBDdjIs,amp-fxJwRH0,cgbj1Ctxjic,VRK--dOWfqE,t6xxI6Lm-kQ,imVc9CzcyDw,11Rbs5K4GXk,fC5f2K-QXns,dwRMrg0rRec,CoE0qkxxmLo
Byd8322US1Y,cgbj1Ctxjic,M0U_wZIdffc,q3PJAss6UQs,aGUvxDPfbIE,bzYdX8KruO8,JTRtDTvM1oI,sxMK_beGgmg,V8yuk2aoYKk,qQLyk1kI-d4,u0TQjM_vJtA,3YGil1RlD-s,61ylDaOP9QY,L6aqtzCB-ko,GCDODayFxuM,hncA6sq52u4,hhnUG4vnjc4,10mLTl2Vx04,FvM6Kev3phs,NmeDT9pbnzU,7_gtNTNgAds
L6aqtzCB-ko,,,,,,,,,,,,,,,,,,,,
