video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
rNh8QDIalVw,6RzgNjkEtXk,dJKzlsAwcNI,0RdDGPl-Zss,1t74d63CbmY,HMeMkS7J83c,KGSzX780PVk,Obl-QJbv-zQ,HdPX0S1rcEg,PcltidsVyjQ,q_QfLqQPPl8,pgOJl0Ljsuc,SN9D8S-1uZE,mhHCOxGAssU,0JYG7bP6vMM,BSj8OGYvKUE,RxxAj1BGYGE,VrBgbvEknIo,LfBegppn3hI,h2NOY3KpycU,zlj9s1MiCoc
W8am8DQsj44,TxRhxey24c0,1URgqYSEZe4,yfIwOcE6zaQ,AqNxYf7VVaQ,4Txy6PDgsbM,o5yrJ2irAmI,CmD-r31Ns4E,gRn6t2sySyE,PsF-ceK83vc,asDXpfFMKNA,tox33Q_XDu0,27-TM3q5-Cc,GvJ4jxGwnE0,7nCjRl9sEn4,e0d1l91tGbI,RCIlR3BbeiI,6cxkLZoEFEk,kknQvuGO0-0,P_Cybo8VnAc,pu1CrkrQV_Q
7DxV1rRAxd8,cWFkRQr5gcQ,cxN6A1NpGXg,oJvP3TMIxm8,p-G7PO5_5Vw,v4bx44Bl8WU,qRNWjufcGcU,sL30gE8-Aag,2SaeNJH5QzI,zXRBaAFAL0U,Gf2-3X1Vyas,SAbqNzdhzu8,cotgGotzLJs,P4mMed_-6EY,yTD27aM25Ac,fvq41H5D4oQ,2ggtOKlGGgw,z3rZwQvY9oQ,EGgZnBxOvbc,B2n39bwHkBE,1kgbrmDb5mU
cWFkRQr5gcQ,7DxV1rRAxd8,oJvP3TMIxm8,p-G7PO5_5Vw,v4bx44Bl8WU,sL30gE8-Aag,B2n39bwHkBE,zXRBaAFAL0U,66tD7lcQrA0,Gf2-3X1Vyas,SAbqNzdhzu8,yTD27aM25Ac,P4mMed_-6EY,cotgGotzLJs,hg_DrYbMa8E,WqTc_LnF1zc,MsfIv7ZH9VY,ILGI5CILN3M,cxN6A1NpGXg,fvq41H5D4oQ,EGgZnBxOvbc
BiFMkYoCoTc,jz-Y5ci6ElY,HX9x-29sHD4,R8a1tbrXOpA,EgeMvvYWxwQ,I-ycBwhdGnM,mCzKApO3LEw,bsH0p4jz9DA,ZV_aJn_I2aU,j9y_5Twmi4k,-kD_q2CNxgY,gjh8YxUmRV4,9oXVeoly1Vw,PZnwcwdbxDo,XfxBfIBRz9E,umYv9Lgq7kM,EpxKqeGd0ao,ls3ngQVMMXI,9CZgZ_WanSU,FLydHjNBFZk,TIgP6rlrTFs
KwI-V4AdGYc,eo9VBWvXwUM,UHDKhWsPu1M,R6CLgZSui10,iwzxVdA2F48,9_VFehTPAqM,wK4gi5qp_TE,cVOhxoGNjGY,9osEKI8639Q,cohE7LJ9cQQ,Adk1ujjmguo,oreAOE3PWEA,IvHcE0dgHy4,i8E-JxIkntw,oliOBmkdhWk,8rZAyB267pM,yNWJ1K91F9k,CvY1_IwwNtI,VdLH4KVGZyU,FKUcWXXYwn8,0sJB2Zyg8uQ
QoXzSb0QkYE,u4B5GDzXJIY,YPtEAEXvcfg,mgIkwkMcups,1WoK02qx0Y4,esbh0tqmLHs,rwn2CiqUol0,7I9e6pLSsgY,6XYOjN_ofKs,zNOfAtGRK1c,t4Iz0JVwwOw,gDP-C0hJZPM,kx0N-5UoP1g,XgH4ZTH0jzE,wbtBU5y0BHA,thdDAPVFOn0,5xwM5xJmOLY,2U2tKAjzPf4,fu_ta_yTKbM,Nc5oXsmyriM,92Zp8BmHUE8
W5nimGu_SKs,PXpjYHkW4gc,9YMu6r0nzZE,G2iBec4qnmY,KUxIuzph2fw,BroZIwzTiic,OZCw0YGeTHs,lgZ7kTiVg-M,Gp2zfGQxogI,KtjdZZfovTU,2RIx7vDEGus,-RaAApj7flw,MWg5VnzauDM,DK-1540nuO8,-JREuvxyviQ,trlu6f5elcI,Se2jR8LWs0U,oBkyVHkiy-s,0p6s0I56AAU,HtYTYqbydSA,Ev9giH5SeuQ
plmdYil09dU,EFtKXslQ2tA,YxJhyuSByiY,tNCNwnrYjRg,jeZi0QgYG28,3ApnFSoZl5g,Sf0SWerECLw,LTxO_pgMqys,kb8rdc-0OpQ,6T79yApVCBg,aWqzFacKGeA,CEESNElOCak,iyjLnvI4yE0,BzgXGACAU20,No3e1meC-KQ,tcfgvsCScsA,LbbRpN2FNmw,3IWY5MIlhiY,xLJtFp1m0Lo,JqoKuW0NS8g,0eq5ImdIc7Y
e7_EcGOtFFg,b2f8WQPej2Q,Mvj64qzj0tY,wMIvxuvSU9M,lVt8gFChFwM,ia_iWfAGRWI,0IciEY-HjfE,2WOiM6pr5X4,v60ZFEkymZ4,AzhHNnM0Uls,wHG05hWY0D0,4A6Dvdb6KUU,Un_BmPkNnoM,E6ZRe7BZ3PA,lVl0oYuLTzg,ZL-SS9WDyxw,_75RKCeoGzU,7tPQbARklgo,78Hd5B9UW5Y,_KXK1hdQgH8,Q2c1ByWkVts
