node,betweenness,ap
WZRnLsawGsM,1.916666667,24.4
SBbvwvC4eLQ,4.152777778,0.6
5d-THYDnC3s,7.347222222,5
SS1RGyFznfk,3.194444444,3.8
GrhDpXsadsg,3.833333333,5.6
WPDM4qmsoCg,11.5,12.2
26YI36jdGfI,11.5,40.2
AOdvLcIeVLQ,3.833333333,3.8
wipUBj2qRlU,3.833333333,3
TLXTmw7DJng,4.6,9
j37F3JD_ARU,2.3,13.8
43hFOv3Vi3c,11.5,0.4
rM-kGyxzr6k,4,3
fpPTSKSglgs,3.833333333,56
6D7sJTqYImA,3.833333333,73
oIUckHF-3Ww,11.5,46.2
yLs0olRchvw,3.309659091,34.4
qQjHrBd3fOc,3.309659091,3.8
IH2ppkwclfM,3.309659091,9.6
4C_eFQQcuow,3.309659091,1
IehxPpnvwSE,2.490909091,1.8
1WzzPzVBRcc,1.511363636,4
_o8YBZ-ClZk,8,0.4
MoCjIhsaZkk,16,0.8
JRkpel_cJ2s,8,0.4
6WXbCXwCN8o,11.5,7.2
lzKUC_RGTK8,10,57.8
mguGKonWBuo,11.5,0.6
zLTZzc12ILI,1.5,6.8
V8LeYPX_Drs,16,4.8
sENi8LSeiC0,26.5,0
ExEZo18WiPo,27,4.6
KhQnPsZSDZ4,11.5,62.4
HWQ4H9nwgCE,11.5,1.4
5uUMJrfO6zA,11.5,19.8
FXcSzI5MKSw,11.5,2.6
TelV3Br8Hh4,10.25,8.6
wwgdxDiM5VU,16,0
GW9nIl4KQPM,16,2.6
tcUw-mpkiYw,11.5,1.8
jZF4BCZabbo,11.5,4.8
1J8SBqHyP58,11.5,0
Z8JU_-4auHY,0.261363636,50.6
QFLt6gMzgYM,15.5,11.4
dEoezFqM5BU,15.5,25.4
xLxPQzE7qIU,16,3.6
t4ag8G-8L00,16,1.4
TsUTvqxxUQU,16,0
keQtVN7gk-o,11.5,0.4
-r--ioum0Ck,11.5,0.6
WNNm93fDKcY,11.5,0.4
HsiQHK-DXDs,11.5,0
vNellIgsvsg,11.5,0.4
nXbs-V25yxs,16,0
kavDPoF087o,0.25,1.8
2ZvDEN_9dnI,18.33644781,3.4
pWgIx0pWVe0,6.428114478,3.4
lf-ZpuFxFzM,12.18265993,0.4
8V3Jcc0WIuk,36.94722222,0
MF0AQtz8wM8,0.497727273,0.8
_F_ztaO5poE,0.497727273,1.2
7eiME-CX10w,3.027777778,0.6
Fa6fCuIbgvs,1,0.6
#NAME?,1.765909091,1.4
wm3MQOGBwpQ,2.761363636,7
HGrH6d6SE9o,2.986363636,5
YStE-2NIM5g,13.52777778,0.6
kTCUvd0laRI,16,2
f20TlMtv0hA,0.011363636,5.4
gykg-V0T7q4,0.045454545,2.2
8wfiSfUTCzc,11.5,3.8
IEHLBKJWGqI,16,0.8
qDfPsu7GYHQ,16,0.8
lFQvz009sWs,11.5,46.6
T8c0kGi9HOg,11.5,2
O22Ew5k024I,11.5,5.6
e1ZfLlVO4-M,1.277777778,0.4
kqbBKJqj4mU,11.5,13
gPI2Tp5Wgxs,11.5,7.8
SLZG-kih8jk,2.3,25.2
7_4xqQffK8k,16.5,3.6
CjSplVOISLk,16.5,1116
Ph9MMzecrSo,8.25,11.2
WTEK9yr8zR4,8.25,12
aa37ZBWdenM,4.125,28
8uFmwDGx7mg,16.5,0
HbiCOxntYuI,5.5,0
7zZqP24lg8c,5.5,0
60HhUemz8X0,5.5,2.8
Dlk4OcoiolU,8.25,0.4
3zSbIAWZ_QM,8.25,0.4
ywUYymEQALo,32.5,2.2
AI1hHgEgIBI,32,3
gMK2x03-tWg,12.375,8
mYcpx_bUBHk,8.25,2.2
_N97nz-6HSc,8.25,1.2
yBBMzNfrzB8,5.5,1.4
dZ5yCEijgvk,1.805555556,26.6
ItvVgUiQzbs,4.125,48.6
#NAME?,5.666666667,46.4
_Hgouf5Ic_4,1.805555556,29
cNOg6_X_gW8,0.25,10.8
VZjRtkvBXW0,1.805555556,12.6
BaZQhSrc0oM,16.5,20.2
KFoaCCQfsjE,16.5,0
v-Me-EVGH08,16.5,2
NKeBe33ZKAo,16.5,0
Yzpv6QIrCRE,4.125,25
HyRgiX_Ay8U,16.5,14.8
MDTAE2ssgkI,4.125,27.8
5goe3a-ePtg,4.125,19.6
g8Gx4T_JccM,16.5,7.2
cu2NNLpz_Gs,16.5,1.6
NmeDT9pbnzU,6.283333333,0.4
3mSERZ_f7v8,6.283333333,0.4
pbmEo-v6zZ8,0.125,0.6
mlirW1S6m_s,7.875,45.4
T49_CgdFNWg,16.5,3.8
h4x6YAl6z-I,11.5,0.4
36NI_Q_vre8,11.5,1.8
ZQgexsIgSf4,13.41666667,0.4
_G0woRtkTPk,13.41666667,4
Gl55p2daeGE,32,1.4
BLqdCByK_cQ,5.166666667,1.2
hv2aQTk-eIU,5.166666667,2.6
702VV1qhFzg,16.5,4.6
Aa2ikbVBTyM,3.583333333,0.4
_ycsrgz4Qk0,1,0.4
jluCF5BAuII,12.91666667,4.2
8XMsnF1JONc,5.5,0.6
Ld4gOnnIWjE,16.5,0.6
T21rDp2DFWA,16.5,10
6luv5zUZg_s,8.25,12.6
TzlNpfb3WfU,8.25,3.4
0xocFFjxVkg,0.25,53.6
wiVUVZ2qyY8,5.930555556,11.8
Fyda890du1Y,10.83333333,12.8
5u8ytqdvnW4,1.805555556,3.2
n0vH53iPGVY,1.805555556,6.4
UD3rM9Utq_w,1.805555556,6
uPNh00QfWSE,1.805555556,12.2
f5oyAfGC7Po,5.930555556,8.8
Q2ShFd2AfuE,16.5,9.2
VxYlQNDBwGU,4.125,96.8
fbbxlkFGq-M,11,0
#NAME?,5.5,0
Nhy5N_gkI9c,5.5,0.4
Kaa3B1ILdms,5.5,0
Y28Dh0ThiBI,5.5,0.8
KW1Oim0QI5E,16.5,12.6
_DEtqDQ7ThU,16.5,1.4
GYtdH7xmlq0,16.5,0
0ikXIEuU-pM,5.5,0
t0oDDHbARzY,5.5,0
oJ7OBR2iaVc,5.5,0
G0zTHyieyPw,16.5,1.4
34za1JeS7Ho,16.5,7
z2mVXe08RH8,4.125,2.4
Gta6Mljc-7I,4.125,5.4
I5xMtuXO248,4.125,15.4
FDoVvkWdeJw,4.125,1.6
9XKMF3VwhN0,16.5,20.6
88GV-cZSV9s,32.5,1.8
hN4fUf4ooDE,16.5,0.8
PK9qaXqxaMA,32,3.4
pWIT8x4b4gU,0.25,59.4
hVbS2Xzlfaw,0.5,39.8
hgvMVYLegTw,16,49.8
ydDzUdJrL6M,16.5,13.4
hPgwlA8bMSY,8,1.4
4Yz46ZGLIxU,8,6
Zj1SSW94FB4,0.25,2.2
l9R0gd04aO8,15.5,4.8
DzSWWTlqsAw,15.5,1.2
80oCak3q9_w,16.5,0.8
g43X8_IzdvQ,8,0
zL5KPfRy8DU,8,0
63rhO5jkeUo,16.5,25.6
ndCAmUr9dXY,16.5,19.2
cdTVcFo2EQw,16,16.2
f5ufIveIEKc,3.2,2
KYUay3dCWBc,3.2,3.2
UcN_OFXjwW4,3.2,4.4
_K-4mVXWfdc,3.2,1.2
A2dwkZ8-PDE,3.2,1.6
sBkTW6HbPa0,3.6875,2.4
XaD9h_HGvXU,3.6875,0.4
cbMGh0XhpTQ,18.6875,1.4
ThPP7nZbWyc,3.6875,1
