node,betweenness,ap
J8baeXpQSGY,2.25,1.8
nn-3gOyCZac,2.25,0
i9zObH3yc48,2.25,0
fVWccTEiQcE,2.25,1
Zcba3cnmwa8,15,10.8
IiyQXCybauI,14,0.4
Ajvj82GCXqo,16.5,0
4Z4fic7NvE0,1.25,10.2
ldNWqO3Wl-U,5.166666667,0
p9_RlK5o0aQ,5.166666667,17.4
LBDuWJkyLhs,16.5,19.8
dgkq3RZOAWU,5.166666667,0
LUseNXhcc6I,16.5,0
aa37ZBWdenM,3.4,28
Fw2KxSWs0hA,15,3.6
kD3LTtYXl2A,7.5,0.6
K0QmLAjbKmA,7.5,0.6
gMK2x03-tWg,16.5,8
mYcpx_bUBHk,8.25,2.2
_N97nz-6HSc,8.25,1.2
bnSKBaNFbuM,16.5,29.4
7CitSWMJVKY,0.5,21.8
q1U0Yu41tD0,15,2.4
fZ_FEIrdXkA,7.25,3.4
Ydj9SApBPN4,5.333333333,49.8
p1kbNmBYxdY,20.33333333,4.6
gkwIX9lCOaQ,14.75,2
HyRgiX_Ay8U,19.06666667,14.8
HbEMFLlNyLs,0.166666667,8.8
5bjVFwoeEoc,3,4.4
8RKczar2av8,15,1.2
t81ClUzyeLU,3,1.4
DFkL9CzsdyU,3,0
d5T1adiFvXc,3,0.4
KIEWhAVrJzo,3,2
tMz4dRwQJwo,16.5,13.8
rTGPPjJZSNo,16.5,35.6
MTrDA9kqeaM,16.5,2.4
whubPa6hLWk,16.5,3.2
bZNSme771xE,16.5,33.2
LS-amg_Z1L0,16.5,12.2
YomKIxL-YzQ,14.83333333,2.6
1XTgnJg3RCw,15,14.4
fbbxlkFGq-M,9.9,0
#NAME?,6.6,0
Nhy5N_gkI9c,6.6,0.4
Kaa3B1ILdms,6.6,0
Y28Dh0ThiBI,3.3,0.8
rEbBNHcpzuM,16.5,2.2
5H2gWg1E75w,16.5,1.2
_DEtqDQ7ThU,15,1.4
Tj_7XUPaF-c,9.375,0
irTBDp7EZo0,5.625,3
l8SMOoJD4N8,3.75,0.6
uTqHMJSYQTU,3.75,1.2
LiMNFPVsH08,3.75,0
tIjbSD6kdYY,15,147
QqjTkUCDgis,15,9
sU5OoomvN-8,2.9,0
oEcTcPv4KoI,0.725,2.4
x22pFFcM_kU,0.725,5.2
oyO05owsWmo,6.525,1.6
MuUMdYDm_CA,0.725,2.6
VmjtGqXtwEI,2.9,10.4
Bmoi_3aFCKE,2.9,7.2
evCJXyKnHSg,2.9,2.6
VsK8aQzYhJE,5.5,8
aoMACL0tzoI,8.25,1
xXWEZNuo9LU,2.75,0.4
M1vA4OJILuE,5.5,0.4
Aa-uDFgC1_w,2.75,1.8
qUKeqK5qNNQ,8.25,0.4
34za1JeS7Ho,15,7
z2mVXe08RH8,3.75,2.4
Gta6Mljc-7I,3.75,5.4
I5xMtuXO248,3.75,15.4
FDoVvkWdeJw,3.75,1.6
NMBRprNUE5w,16.5,1.4
GgyHSJV_AK0,0.5,186.2
5ixo9XvNepU,16,191
0PNVHN3yELk,15,16.8
EBpwZx436nQ,15,4.6
BZbOQqtDAW0,0.083333333,33.6
2bJ0EGK4R4k,15,13
YP3BbjhAw5g,7.25,1.6
gG85O-8CUw0,15,10.4
kk8h8FBnV2I,3.325,29.4
HWQpU1RA3oU,1.6,8.6
2rksAiNRW6I,1.6,6.2
U6mgA3zzcNo,1.066666667,2.6
4FRk-KSw_g0,1.066666667,0.4
VvnoXobyv1g,3.2,0.4
RclQDjn4UHQ,16.5,27
DzSWWTlqsAw,14.75,1.2
cgdbOxzYshE,0.083333333,7.2
iLTdqaBY9So,0.083333333,8
f5ufIveIEKc,8.125,2
A2dwkZ8-PDE,8.125,1.6
BtCjCJyP380,15,6.6
XWrX8MlxkQE,15,10.8
qK5Y4awOibs,5.166666667,11.6
I6C079CyfTc,4.791666667,8
3U5XGNiJkSM,0.25,9.8
WXvY3h2yDSU,0.166666667,7.8
1yXRBGHCP0w,5.166666667,10.8
kLYUupiiTG8,5.166666667,28
PrIGPH6ZsiM,4.791666667,5.6
H7aN8-FZZRM,16.5,4.6
y8aE11gjL-0,4.791666667,12.6
VPVsKoBY9V4,4.791666667,2.6
vD0UFc8iEhk,1.75,12.2
wSyVNNQzgKY,1.75,4.2
juz_LxaMgVs,1.75,1
70-jyjAOhH4,1.75,8.6
0D3V-bnqeSo,1.75,0.4
UKXvPfc2Uyk,1.75,0.4
FqCN_kui7mI,1.75,3
UUvhAxTLvrU,1.75,0
cuAqhbfdyzE,15,7
hdtvI-00LAU,7.25,0.4
bt9Sbbi7xdQ,15,0.4
CbY8Q8v8f_o,37.75,12
zbz6ruTlPUM,16.5,9.8
7yyQe47Dgj0,16.5,28.6
G5H8ZMRk1oQ,14.5,0.6
TxkNX9ityz4,14.5,0
Hn5dsfVYhAU,8,3.8
tiBzBujTWvg,16.5,4.6
b1c67rO__9s,8,9
jmYw_vZsWC4,4,1.2
nZnmZN42FEg,4,0.8
gs48xUO7pkk,15,11.8
0_avk4AIWL8,15,2.8
#NAME?,16.5,20.6
nus__3iBk88,0.166666667,7.6
rCXg45gerj0,16.33333333,2
AiXaHiqZJPw,18.9,0
ZWNwfg1j5Co,0.166666667,5.2
hzTeiX4sqe0,15,136.2
ynMzUDw-ORg,1.666666667,103.4
sZGebKkd-nQ,1.666666667,78
3gqeA_HuIbo,4.166666667,25.2
svJQWn4PxNo,7.5,10.4
iSUTnRKJ0Zs,5,11.6
q38uxI3EKqs,16.5,12.2
CbyNSfPv6fU,16.5,39.4
SBbvwvC4eLQ,8.166666667,0.6
5d-THYDnC3s,8.166666667,5
GrhDpXsadsg,10,5.6
05RU06pyed8,7.25,0
WPDM4qmsoCg,30,12.2
26YI36jdGfI,30.5,40.2
AOdvLcIeVLQ,10,3.8
wipUBj2qRlU,10,3
wVnZ-uZPsO0,15,0
ggANGM_PC6A,15,0
IYstxBc0ZjQ,15,50.8
7Qpp02XYnDA,15,99
GnNBCcGybBs,16.5,1.2
sf3wewMOzTQ,16.5,13.6
QpREq98LgQg,8.25,1.4
NPnoGQIzYYQ,8.25,0.4
VvDcYce8ff8,8.25,0
ZPVTwwIbnMI,8.25,0
lu5Ui9I3dlw,16.5,3.2
tvMhY-102KQ,15,0
9npz57a1r4U,15,277.8
YONe-WENvcU,8.25,1141
6WXbCXwCN8o,16.5,7.2
TelV3Br8Hh4,16.5,8.6
_kAWu37EDd4,16.25,9.4
vwhdo-kMgrc,16.5,1.4
EbXL3W4a1dM,3.75,0
Fe2zjXr_6dA,16.5,1.4
LJ2szSVoCu4,16.5,4.8
jxGfF4NaP8E,2.9,0.4
NSBnIWT1yVw,16.5,64.2
v65q6CfScQI,16.5,433.6
#NAME?,15,3.4
x9nSy9XBeeE,15,0.8
2X-ea0UWw0c,15,2.2
82pJBPzBhxI,15,2.8
Xq0INpd8CQo,15,1.6
3t963Q3ZzIg,15,20
y6Art6P2Srw,14.5,10.2
J37OZOSFCjk,14.5,1.8
Gz77KvxOcZU,15,10.8
s6F4-C5TEWE,16,219
9PjyUxk2axs,16,59.2
VdM0KtPviSE,16,267.6
xK009ukh6KE,9.975,8.2
TNByqRbM4KM,9.6,5
WlRxBWDNc04,16.5,12.6
Y8-zFydu4pI,1.066666667,2.4
yGFgan8eD5c,7.5,4
6AoJyGJ7jPw,7.5,2
1-XwrErFALA,15,1.6
chmANWyUfrs,0.25,62
wqzihNoh3rA,23.75,27.2
seWb3tj6TfM,15,16
CM8DtViG3_w,59,32.8
AHbcGeIilss,16.5,27.4
Yt7vauiBQHg,44.5,12.8
N1sc5RhQgQ8,16.5,5.6
hvsTzYqRpdA,8,3
6XEvjsVWfkg,15,3.8
O0jC6zjFDJQ,15,5
2ZvDEN_9dnI,7.5,3.4
lf-ZpuFxFzM,7.5,0.4
8V3Jcc0WIuk,15,0
YStE-2NIM5g,15,0.6
R8vNfpkW0iU,5,12.4
Xu94SjPHU54,16.5,3.8
GE_AAZnqi74,16.5,1.6
HtQT5R2LSuU,5,4.6
qRqi_kKEkEs,16.5,1.2
IEHLBKJWGqI,16.5,0.8
qDfPsu7GYHQ,16.5,0.8
cLKz5qwp8HA,16.5,2
iEVnYG3Bkks,15,100.6
s3z9Iw9qOKY,15,1.6
rOq-g2MIIdo,15,1.6
I28Vty6VLuw,0.166666667,51.8
nXeEG-fP7Zs,7.25,2.8
U0e1qkImfDk,15,14.6
FPT7DgaPHbs,16.5,0.4
gPI2Tp5Wgxs,16.5,7.8
i9zObH3yc48,7.25,0
fVWccTEiQcE,7.25,1
n-nxtTvUZiI,15,80.8
R-cP4mMJzzI,15,6.8
