video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
25tfstdGC-8,ji5_MqicxSo,R9ya9BXClRw,RcYv5x6gZTA,-F-3E8pyjFo,2ip_8ovuvBw,j0MGKsx4iPE,Cj-jzlOkgUU,1iP7xr6ig-s,K7O6AWwLyAk,NQ7zeZrAAkc,VZ7qNblNK-U,1R5CcN1zbjA,87oNtbWh3Gc,kmIy7NCSWj0,Eq6OA3JjqxY,ioIGX-p7XgE,TQBjO3nLdTQ,vlOkTGv1PHQ,u6rS-Jz6QAw,o_OAnZiyKMI
Ajvj82GCXqo,4Z4fic7NvE0,HgZ_zZOvgoQ,BmwXX5FEUKk,ldNWqO3Wl-U,4gaMpYTbNHk,gaGtDwxAUJY,4SRAMg489Kc,42gXZmpbemY,5iff3pDpRR8,Rm-GVHMNafo,p9_RlK5o0aQ,tFu6jiA_rjE,7rjUQa5zHhY,DVBi6VADHH8,D0LtnCnKIW8,LBDuWJkyLhs,Ic67taFeIi8,dgkq3RZOAWU,S-RZviyHHz0,oJbf-2-cVPg
qo6CK5PBk-I,LaiuHMvArTU,9l-VDOGqmd4,tSEU9xvqBcQ,PvNbhDOcLb8,y4NElRRGetQ,WXYMqz58z2Q,5_a2GgqD_jo,BOct87nYSs4,8HLtgzt58WA,B1oLUnM-Mxs,pQcaADiMWU0,18jBkf5_0vs,MSsVFcRjTwc,EbrQ0fl6Az8,prIXBEn3NgQ,DUP85iNCd4k,a5J9y3GAzrM,xRvDYodCaRs,34l8g8WCeGI,HEQ8edXw21M
FbJMsx3gTC8,dV8kFDOWmsM,Cz5_QjcD23U,3T4_fBAZWaU,6qbolMWTT9Q,Xj3_ORWmVmk,FZGv22cfu1k,fHzFQ21y3uo,wH4FK7ORGHo,wMQHvLTBw_U,DAikNX3RNaE,k67vr5A6gxk,vJh_jXWo3jU,d9DoiUCGu_A,Ut7s1JUCdWE,gsMpTxQ896A,VqEpU-3oXqM,HBqyrgHMVro,FJOKNWIWc5M,d54MXJkG-1Q,_wf-e1MGXtU
IeICq-glPZY,rKljkes1pQc,WqqzZUESS7k,14cZPdiMHD4,LGmYkhi-85Q,ez5CgU-YqFY,8Mm1XkOF8ok,L7tiZtCsZR4,,,,,,,,,,,,,
PW9jlAMze6A,Ya-WC1kKCTU,aMsD7sqvtGg,HyMMyIxY8q8,ifRW-Ai2eEU,KrcJULcG894,wWGxNbk2LSg,Syowb5Hb0kk,9zlMkQNLgCY,9fykLdKCI1o,ykFdLbxJPds,UJ-hqpEV190,-W-nLNqokew,IizidRw6sS8,Shx6m4j-7-c,UcHwHR69pkY,YS7PNgUcmAw,wyLS4jN5CvY,DcyKlTyhXXI,xusfBLZRjRY,ldFx7Ld5qdo
UN67fxO7BA4,,,,,,,,,,,,,,,,,,,,
LUseNXhcc6I,8ij6nBQfQoo,O_sKAotTJiI,59NNupminV8,HT2hElMqlFs,mSu6SMBBBpk,zB24z00ajU4,1I4xPbsO-FM,HA5nboJWgZY,y6gXdxqUysE,cP58zHGZ6xo,Fywz1zoI0Ts,eqVv7fCLVWM,F61LQdlblqc,AlXhosTHYq4,ZNfuTDbdKoY,Rn12wcZaZF8,3jlXnQEgbuw,a_UMZ_9RBmk,vjDsVca5k74,g--Vlij1X1Y
c4pyB2PLasc,NZnqNyMrnYc,SfJQwJ-etdw,sWev6MkHEOo,LwKI-AM96FQ,6ecXePNqKng,V5iAHJ35gPc,wOhgf9VRD0g,pCJw9X3kyzg,M944KE1gN30,VT0ERFoNn64,15G9Amq4bqY,IJl83rIuLFc,aa37ZBWdenM,wm5ATn8TlKI,ha-orvjqC4w,JOqjefeGHSQ,04sTXVZxaG0,Ss_i-4N0wVs,5VftBsGd0qo,CNuW1iHr960
8uFmwDGx7mg,uYINLG3WNlw,84djsEaWAo4,2D8pUw-MrE8,HbiCOxntYuI,3IPlPJ-wHqQ,0DAuW3FPo40,5Q8LTnGPFeg,VJP123yBsFQ,JOWqwuj4OM0,dt6K8cr5s4Q,m-L85Gvpjzk,7zZqP24lg8c,5Y0T1Qjrl1U,60HhUemz8X0,08zfzKBuXk8,Hg_zbd1w3Kw,kMLD7EPDVK8,o13Lc3RXy2w,aGq_3asGi5k,EAmQ0lT93m4
